DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram
IPS,8.0,768.0,1024.0,android 4,microsdxc,4194304.0,1048576.0
IPS,4.7,720.0,1280.0,android 4,no,16777216.0,1048576.0
IPS,6.0,1080.0,1920.0,android 4,microsdhc,16777216.0,8388608.0
IPS,4.7,720.0,1280.0,android 4,microsdhc,4194304.0,1048576.0
IPS,4.3,480.0,854.0,android 4,microsdhc,8388608.0,524288.0
TFT,7.0,480.0,800.0,android 4,microsdhc,4194304.0,1048576.0
IPS,4.65,480.0,854.0,android 4,microsdhc,4194304.0,1048576.0
TFT,3.5,320.0,480.0,android 2,microsdhc,524288.0,262144.0
IPS,4.5,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0
IPS,5.0,1080.0,1920.0,android 4,microsdhc,16777216.0,2097152.0
TFT,3.5,320.0,480.0,firefox,microsdhc,524288.0,262144.0
OLED,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0
TFT,5.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0
TFT,7.0,600.0,1024.0,android 4,microsdhc,4194304.0,1048576.0
IPS,7.0,800.0,1280.0,android 4,microsdhc,4194304.0,1048576.0
IPS,8.0,768.0,1024.0,android 4,microsdhc,8388608.0,1048576.0
TFT,7.0,600.0,1024.0,android 4,microsdhc,4194304.0,1048576.0
IPS,7.0,800.0,1280.0,android 4,microsdhc,8388608.0,1048576.0
OLED,4.65,720.0,1280.0,android 4,no,16777216.0,1048576.0
IPS,4.66,540.0,960.0,android 4,microsdhc,13946060.8,4194304.0
TFT,3.5,320.0,480.0,android 2,microsdhc,524288.0,262144.0
TFT,3.5,320.0,480.0,android 4,microsdhc,4194304.0,524288.0
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,1048576.0
TFT,4.5,540.0,960.0,android 4,microsdhc,4194304.0,524288.0
IPS,5.0,720.0,1280.0,android 4,microsdhc,4194304.0,1048576.0
TFT,5.0,1080.0,1920.0,android 4,microsdhc,4194304.0,1048576.0
IPS,5.0,720.0,1280.0,android 4,microsdhc,4194304.0,1048576.0
IPS,4.0,480.0,800.0,Microsoft Windows Phone 7.8,no,4194304.0,524288.0
TFT,3.5,320.0,480.0,android 2,microsdhc,524288.0,524288.0
TFT,4.3,480.0,800.0,android 4,microsdhc,4194304.0,1048576.0
TFT,4.3,480.0,800.0,android 4,microsdhc,4194304.0,1048576.0
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0
TFT,4.0,480.0,800.0,android 2,microsdhc,524288.0,
TFT,3.5,320.0,480.0,android 2,microsdhc,1048576.0,524288.0
TFT,4.0,480.0,800.0,android 4,microsdhc,3145728.0,
TFT,2.8,240.0,320.0,android 2,microsdhc,153600.0,
TFT,2.4,320.0,240.0,,microsdhc,2048.0,
TFT,1.77,128.0,160.0,,microsdhc,2048.0,
TFT,2.4,240.0,320.0,,microsdhc,,
IPS,4.5,720.0,1280.0,android 4,microsdhc,8388608.0,1048576.0
TFT,4.0,320.0,480.0,android 2,microsdhc,153600.0,
TFT,2.6,240.0,320.0,android 2,microsdhc,153600.0,
TFT,2.8,240.0,320.0,,microsdhc,2048.0,
TFT,2.4,320.0,240.0,,microsdhc,51200.0,
TFT,2.4,320.0,240.0,,microsd,,
TFT,2.0,320.0,240.0,,microsdhc,51200.0,
TFT,2.0,220.0,176.0,,microsdhc,2048.0,
TFT,2.0,220.0,176.0,,microsdhc,819.2,
TFT,1.8,160.0,128.0,,microsd,409.6,
TFT,1.8,120.0,160.0,,microsd,204.8,
TFT,1.8,120.0,160.0,,microsd,204.8,
TFT,1.5,128.0,128.0,,microsd,1024.0,
TFT,1.8,160.0,128.0,,no,,
TFT,1.8,128.0,160.0,,no,,
TFT,1.45,128.0,128.0,,no,,
TFT,3.5,320.0,480.0,android 2,microsdhc,524288.0,262144.0
TFT,2.8,240.0,320.0,android 2,microsdhc,,
TFT,2.4,320.0,240.0,,microsdhc,71680.0,
TFT,2.8,240.0,320.0,android 2,microsdhc,204800.0,
TFT,2.4,320.0,240.0,,microsdhc,51200.0,
TFT,4.3,480.0,800.0,android 2,microsdhc,2097152.0,524288.0
TFT,3.5,320.0,480.0,android 2,microsdhc,153600.0,
TFT,2.8,240.0,320.0,android 2,microsdhc,153600.0,
TFT,2.8,240.0,320.0,android 2,microsdhc,,
TFT,2.8,240.0,320.0,android 2,microsdhc,153600.0,
TFT,2.8,240.0,320.0,,microsdhc,51200.0,
TFT,2.4,320.0,240.0,,microsdhc,51200.0,
TFT,2.8,320.0,240.0,android 2,microsdhc,153600.0,
TFT,3.2,320.0,480.0,android 2,microsdhc,524288.0,262144.0
TFT,3.2,320.0,480.0,android 2,microsdhc,524288.0,262144.0
TFT,2.8,320.0,240.0,android 2,microsdhc,153600.0,
TFT,2.8,320.0,240.0,android 2,microsdhc,153600.0,
TFT,3.2,240.0,400.0,,microsdhc,51200.0,
TFT,3.2,240.0,400.0,,microsdhc,51200.0,
TFT,2.4,320.0,240.0,,microsdhc,51200.0,
TFT,2.4,320.0,240.0,,microsdhc,51200.0,
TFT,2.8,320.0,240.0,,microsdhc,61440.0,
TFT,2.4,320.0,240.0,,microsdhc,51200.0,
TFT,2.4,320.0,240.0,,microsdhc,71680.0,
TFT,2.0,176.0,220.0,,microsdhc,,
TFT,1.77,128.0,160.0,,microsdhc,2048.0,
TFT,2.4,240.0,320.0,,microsdhc,3072.0,
TFT,2.0,220.0,176.0,,microsdhc,2048.0,
TFT,1.77,128.0,160.0,,microsdhc,2048.0,
TFT,2.0,220.0,176.0,,microsdhc,409.6,
TFT,1.77,128.0,160.0,,no,1843.2,
TFT,1.8,160.0,128.0,,microsdhc,716.8,
TFT,1.8,128.0,160.0,,no,,
TFT,1.45,128.0,128.0,,microsd,2048.0,
TFT,1.45,128.0,128.0,,no,,
TFT,1.45,128.0,128.0,,no,,
CSTN,1.45,128.0,128.0,,no,,
CSTN,1.45,128.0,128.0,,no,,
Monochrome,1.32,96.0,64.0,,no,,
Monochrome,1.32,96.0,64.0,,no,,
Monochrome,1.32,96.0,64.0,,no,,
Monochrome,1.32,96.0,64.0,,no,,
Monochrome,1.32,96.0,64.0,,no,,
TFT,2.4,240.0,320.0,,microsdhc,1024.0,
TFT,2.4,320.0,240.0,,microsdhc,81920.0,
TFT,2.4,320.0,240.0,,microsdhc,81920.0,
TFT,2.2,240.0,320.0,,microsdhc,4096.0,
TFT,1.8,128.0,160.0,,no,1843.2,
TFT,1.8,160.0,128.0,,no,,
TFT,2.83,240.0,320.0,,microsdhc,3584.0,
STN,1.32,96.0,64.0,,no,,
CSTN,1.5,128.0,128.0,,no,,
CSTN,1.5,128.0,128.0,,no,,
TFT,2.8,240.0,320.0,,microsdhc,90112.0,
TFT,2.4,240.0,320.0,,microsdhc,61440.0,
TFT,2.4,320.0,240.0,,microsdhc,61440.0,
CSTN,1.45,128.0,128.0,,no,,
CSTN,1.5,128.0,128.0,,microsdhc,2048.0,
CSTN,1.45,128.0,128.0,,no,2048.0,
